id,lat,lon
120223333,39.0087,-96.835
122861106,37.2532,-97.4036
192454074,39.2056,-94.7057
1040996576,38.8072,-94.9089
1797817076,38.8111,-94.909
5025411591,38.7069,-95.0749
5059345000,39.0185,-94.6677
5237520239,39.0532,-94.5906
5400411589,39.0713,-94.5901
6336749296,37.6775,-97.3356
6341025679,37.7227,-97.3449
6344224132,37.6715,-97.3356
6353318884,37.6898,-97.3172
7118081587,37.6958,-97.3806
8759318002,39.0289,-94.8482
10049972321,39.0291,-94.8485
10416000563,38.9428,-95.3075
10416000564,38.9424,-95.3074
10416000565,38.9425,-95.307
10416000566,38.9428,-95.307
10418919054,38.9358,-95.3069
10418919055,38.9361,-95.3071
10428862729,38.9713,-95.3255
10428862730,38.9718,-95.3256
10428862731,38.9716,-95.3261
10428862732,38.9712,-95.326
10428862733,38.9598,-95.3257
10428862734,38.9595,-95.3257
10428862735,38.9595,-95.3254
10428862736,38.9597,-95.3254
10860634257,38.928,-95.2201
10860634258,38.9284,-95.2203
10860634259,38.9283,-95.2209
10860634260,38.9279,-95.2206
11677116391,38.9603,-94.9366
11677116392,38.96,-94.9366
11688760638,39.0075,-94.697
11688760645,39.0223,-94.6941
11688760647,39.022,-94.6944
11688760648,39.0221,-94.6941
11711310803,39.0109,-94.6863
11716502458,38.9563,-94.7475
11716514099,39.0225,-94.6881
11716514100,39.0225,-94.6879
11716514103,39.0224,-94.6656
11716514104,39.0221,-94.6657
11716514105,39.0223,-94.6582
11716514106,39.0223,-94.6585
11716514111,39.0223,-94.6492
11716514112,39.0224,-94.6489
11716616428,39.0335,-94.6165
11716616429,39.0335,-94.6165
11717054424,39.0405,-94.6403
11717054453,39.0077,-94.693
11728897617,39.0083,-94.6863
12337319052,38.9921,-95.3858
12366592469,37.6817,-94.7038
12366992071,37.3384,-94.6375
12367010088,37.4827,-94.7054
12367018542,37.4404,-94.7045
12367018579,37.4112,-94.7229
12367018580,37.3834,-94.6869
12367031936,37.4396,-94.7052
12367054580,37.4113,-94.7216
12367061694,37.3816,-94.7054
12367063609,37.3819,-94.7055
12367069351,37.4405,-94.7056
12367070558,37.4412,-94.7049
12367084714,37.3816,-94.7051
12367095212,37.3828,-94.6866
12367095291,37.6804,-94.7031
12367095878,37.4109,-94.678
12367101480,37.8445,-94.6495
12367105219,37.3819,-94.7051
12367140016,37.3395,-94.8506
12367144838,37.7177,-94.8141
12367168016,37.8629,-94.9587
12367174471,38.0274,-94.7049
12367178717,37.9217,-95.1705
12367197509,37.7589,-95.1606
12367204835,37.706,-95.1607
12368857279,37.7226,-97.4585
12368887215,37.7218,-97.4447
12368897449,37.7086,-97.444
12374671596,37.7062,-97.4627
12377157214,37.7233,-97.4282
12377450056,37.4694,-94.651
12377454813,37.9219,-95.429
12377471712,38.0209,-95.3808
12377485375,37.3443,-94.7068
12377694041,38.9391,-97.2142
12392559579,39.0228,-94.7144
12392559580,39.0231,-94.7148
12392572369,39.0498,-94.6861
12392572370,39.05,-94.6863
12392572371,39.0498,-94.6867
12392572372,39.0495,-94.6866
12392650121,39.015,-94.7144
12392650122,39.0146,-94.7148
12392650123,39.0149,-94.7149
12392650124,39.0294,-94.7145
12392882932,39.0188,-94.6675
12392889299,39.0367,-94.6396
12392889300,39.0404,-94.6408
12392933101,39.0138,-94.7422
12392933102,39.0141,-94.7427
12394474805,39.0223,-94.6658
12394474806,39.0221,-94.6655
12400959042,39.0203,-94.6583
12400959043,39.02,-94.6582
12400959044,39.02,-94.6585
12400959045,39.0203,-94.6586
12400959046,39.0435,-94.6562
12400959047,39.0437,-94.6563
12400959048,39.0436,-94.6559
12401303484,37.3523,-95.208
12401341728,37.34,-94.7052
12401347327,37.3219,-95.2666
12401357342,37.3388,-94.7116
12401361430,37.3521,-95.2081
12407416381,39.0187,-94.6658
12408091740,39.0101,-94.7761
12408437833,37.5705,-97.3524
12410304986,39.039,-94.7147
12410442758,39.0662,-94.6771
12410524908,39.0537,-94.677
12410529462,39.0732,-94.6822
12410529463,39.073,-94.682
12410532111,39.0677,-94.614
12410532112,39.0681,-94.6138
12410532113,39.0678,-94.6133
12410532114,39.0674,-94.6136
12410532644,39.0575,-94.6117
12410532645,39.0572,-94.612
12410545015,39.0534,-94.6433
12410545016,39.0536,-94.643
12410545017,39.0534,-94.6429
12410545018,39.0532,-94.6431
12410693139,37.3444,-95.3535
12410775192,37.375,-95.2586
12410790841,37.4184,-95.2701
12410792092,37.5148,-95.1547
12412774881,39.0287,-94.6866
12412774882,39.0288,-94.6863
12416460254,39.0368,-94.6585
12416460255,39.037,-94.6585
12416460256,39.037,-94.6583
12418200064,38.9713,-94.7133
12423422203,39.0568,-94.5953
12423422204,39.0568,-94.5956
12423422205,39.057,-94.5956
12423422206,39.057,-94.5953
12423636356,39.0572,-94.6074
12423636357,39.0573,-94.6072
12423636358,39.0575,-94.6072
12425244999,39.0003,-94.6491
12425245000,39.0004,-94.6492
12425289001,39.0005,-94.6489
12425289002,39.0003,-94.6489
12425289003,38.9933,-94.6489
12425289004,38.9932,-94.6492
12425289005,38.993,-94.6492
12425289006,38.993,-94.6489
12425289007,38.9859,-94.6492
12425289008,38.9858,-94.6491
12425289009,38.9859,-94.649
12425289010,38.9858,-94.649
